timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
19.206,0.1729,0.0000,0.0000,0.0000
19.260,0.2902,0.0000,0.0000,0.0000
19.310,0.2536,0.0000,0.0000,0.0000
19.360,0.2418,0.0000,0.0000,0.0000
19.411,0.4488,0.0000,0.0000,0.1537
19.461,0.3459,0.0000,0.0000,0.1189
19.511,0.3179,0.0000,0.0000,0.1112
19.561,0.2979,0.0000,0.0000,0.0393
19.611,0.2892,0.0000,0.0000,0.0332
19.662,0.1979,0.0000,0.0000,0.0171
19.712,0.1193,0.0000,0.0000,0.0000
19.762,0.1082,0.0000,0.0000,0.0000
19.812,0.1064,0.0000,0.0000,0.0000
19.862,0.0932,0.0000,0.0000,0.0950
19.912,0.0906,0.0000,0.0000,0.0737
19.965,0.1207,0.0000,0.0000,0.0379
20.015,0.1246,0.0000,0.0000,0.0096
20.065,0.1170,0.0000,0.0000,0.0056
20.115,0.1241,0.0000,0.0000,0.0000
20.165,0.1345,0.0000,0.0000,0.0000
20.215,0.1199,0.0000,0.0000,0.0000
20.265,0.0942,0.0000,0.0000,0.0685
20.315,0.0902,0.0000,0.0000,0.1415
20.367,0.1877,0.0000,0.0000,0.0965
20.417,0.1779,0.0000,0.0000,0.0818
20.467,0.1712,0.0000,0.0000,0.0462
20.517,0.2204,0.0000,0.0000,0.0306
20.567,0.2242,0.0000,0.0000,0.0035
20.617,0.1984,0.0000,0.0000,0.0000
20.667,0.1919,0.0000,0.0000,0.0000
20.717,0.2111,0.0000,0.0000,0.1011
20.767,0.1984,0.0000,0.0000,0.1445
20.817,0.1482,0.0000,0.0000,0.0885
20.867,0.1383,0.0000,0.0000,0.0714
20.917,0.1431,0.0000,0.0000,0.0228
20.967,0.1295,0.0000,0.0000,0.0038
21.018,0.1280,0.0000,0.0000,0.0000
21.070,0.2166,0.0000,0.0000,0.0000
21.120,0.2354,0.0000,0.0000,0.0000
21.171,0.2227,0.0000,0.0000,0.0929
21.222,0.2184,0.0000,0.0000,0.1082
21.273,0.2366,0.0000,0.0000,0.1185
21.323,0.2212,0.0000,0.0000,0.0966
21.373,0.1506,0.0000,0.0000,0.0492
21.424,0.1633,0.0000,0.0000,0.0330
21.474,0.1983,0.0000,0.0000,0.0000
21.524,0.1539,0.0000,0.0000,0.0000
21.574,0.1448,0.0000,0.0000,0.0000
21.624,0.1358,0.0000,0.0000,0.0320
21.675,0.3595,0.0000,0.0000,0.0880
21.725,0.3073,0.0000,0.0000,0.0668
21.775,0.2788,0.0000,0.0000,0.0289
21.825,0.2759,0.0000,0.0000,0.0127
21.875,0.2390,0.0000,0.0000,0.0159
21.926,0.1316,0.0000,0.0000,0.0000
21.977,0.1166,0.0000,0.0000,0.0000
22.027,0.1382,0.0000,0.0000,0.0000
22.077,0.1369,0.0000,0.0000,0.1390
22.127,0.1340,0.0000,0.0000,0.1176
22.183,0.1403,0.0000,0.0000,0.0912
22.229,0.2229,0.0000,0.0000,0.0774
22.279,0.2178,0.0000,0.0000,0.0485
22.333,0.2192,0.0000,0.0000,0.0287
22.384,0.2327,0.0000,0.0000,0.0200
22.434,0.2067,0.0000,0.0000,0.0386
22.484,0.1456,0.0000,0.0000,0.1058
22.534,0.1754,0.0000,0.0000,0.1901
22.584,0.2523,0.0000,0.0000,0.1573
22.633,0.2376,0.0000,0.0000,0.1293
22.684,0.2199,0.0000,0.0000,0.0899
22.737,0.2518,0.0000,0.0000,0.0644
22.785,0.3476,0.0000,0.0000,0.0366
