timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
14.711,0.1281,0.9931,1.0000,0.7957
14.765,0.0731,0.9933,1.0000,0.8526
14.812,0.2676,0.9937,1.0000,0.8599
14.862,0.3153,0.9939,1.0000,0.8466
14.915,0.2780,0.9943,1.0000,0.7914
14.966,0.3916,0.9945,1.0000,0.8007
15.016,0.3502,0.9946,1.0000,0.8001
15.066,0.2573,0.9949,1.0000,0.7820
15.117,0.2367,0.9951,1.0000,0.7685
15.170,0.2170,0.9952,1.0000,0.7357
15.218,0.1247,0.9955,1.0000,0.8214
15.269,0.0948,0.9957,1.0000,0.8346
15.320,0.0858,0.9959,1.0000,0.8256
15.370,0.1192,0.9960,1.0000,0.8194
15.420,0.1324,0.9962,1.0000,0.8239
15.470,0.1341,0.9964,1.0000,0.8093
15.520,0.1554,0.9965,1.0000,0.7379
15.570,0.1591,0.9966,1.0000,0.7768
15.620,0.0956,0.9968,1.0000,0.7944
15.670,0.0690,0.9969,1.0000,0.8314
15.720,0.1089,0.9970,1.0000,0.8543
15.770,0.2597,0.9972,1.0000,0.8389
15.820,0.2617,0.9972,1.0000,0.8452
15.871,0.2690,0.9974,1.0000,0.8458
15.922,0.3178,0.9975,1.0000,0.8365
15.973,0.2603,0.9976,1.0000,0.7361
16.023,0.2167,0.9977,1.0000,0.7641
16.072,0.2197,0.9978,1.0000,0.7903
16.123,0.2677,0.9979,1.0000,0.7760
16.173,0.2301,0.9980,1.0000,0.8260
16.224,0.2033,0.9981,1.0000,0.8292
16.274,0.2698,0.9981,1.0000,0.8195
16.325,0.2982,0.9982,1.0000,0.7956
16.376,0.1681,0.9983,1.0000,0.7743
16.426,0.1431,0.9984,1.0000,0.7601
16.476,0.1516,0.9985,1.0000,0.7302
16.526,0.1112,0.9985,1.0000,0.7600
16.576,0.0931,0.9985,0.9998,0.6971
16.627,0.1514,0.9986,1.0000,0.7970
16.677,0.3060,0.9987,1.0000,0.8057
16.727,0.2420,0.9987,1.0000,0.8016
16.777,0.2248,0.9988,1.0000,0.8020
16.827,0.2659,0.9988,1.0000,0.7767
16.877,0.2502,0.9989,1.0000,0.7828
16.927,0.1858,0.9989,1.0000,0.7810
16.977,0.1307,0.9990,1.0000,0.7672
17.027,0.1379,0.9990,1.0000,0.7280
17.077,0.1258,0.9990,1.0000,0.7701
17.127,0.0800,0.9991,1.0000,0.8275
17.178,0.0690,0.9991,1.0000,0.8196
17.228,0.1786,0.9992,1.0000,0.7848
17.278,0.1749,0.9992,1.0000,0.7559
17.328,0.1752,0.9992,1.0000,0.7512
17.378,0.2030,0.9993,1.0000,0.7073
17.428,0.2089,0.9993,1.0000,0.7291
17.480,0.1898,0.9993,1.0000,0.7422
17.530,0.1827,0.9994,1.0000,0.7585
17.581,0.3397,0.9994,1.0000,0.8105
17.631,0.3106,0.9994,1.0000,0.8070
17.680,0.2454,0.9994,1.0000,0.8039
17.731,0.2244,0.9995,1.0000,0.7974
17.782,0.2422,0.9995,1.0000,0.7876
17.832,0.2425,0.9995,1.0000,0.7554
17.882,0.2010,0.9994,1.0000,0.7120
17.932,0.2103,0.9995,1.0000,0.7278
17.985,0.2043,0.9991,1.0000,0.7082
18.035,0.1732,0.9992,1.0000,0.7686
18.085,0.1616,0.9992,1.0000,0.7797
18.135,0.2846,0.9992,1.0000,0.7743
18.185,0.2722,0.9993,1.0000,0.7671
18.235,0.2356,0.9993,1.0000,0.7640
18.285,0.2107,0.9993,1.0000,0.7457
18.335,0.2229,0.9993,0.9990,0.6926
